"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"40",25,"entrepreneur","single","tertiary","no",140,"yes","no","cellular",7,"may",348,1,-1,0,"unknown","0"
"41",61,"management","married","tertiary","no",997,"no","no","cellular",10,"mar",106,1,-1,0,"unknown","1"
"42",27,"entrepreneur","married","secondary","no",2329,"no","no","telephone",27,"oct",131,1,-1,0,"unknown","1"
"43",60,"admin.","married","secondary","no",1914,"yes","no","cellular",20,"apr",65,1,287,3,"failure","0"
"44",32,"technician","single","tertiary","no",0,"yes","yes","cellular",13,"may",440,2,-1,0,"unknown","1"
"45",30,"admin.","married","secondary","no",182,"yes","yes","cellular",5,"may",143,1,364,1,"failure","0"
"46",36,"technician","single","secondary","no",3254,"yes","no","unknown",27,"oct",207,1,-1,0,"unknown","1"
"47",33,"technician","single","secondary","no",0,"no","no","unknown",3,"jul",1106,2,-1,0,"unknown","0"
"48",37,"unemployed","single","tertiary","no",1291,"no","no","cellular",5,"aug",150,1,97,2,"success","1"
"49",25,"student","single","secondary","no",8,"no","no","cellular",22,"apr",107,2,-1,0,"unknown","1"
"50",26,"unemployed","single","tertiary","no",77,"no","no","cellular",26,"apr",175,1,-1,0,"unknown","1"
"51",28,"blue-collar","single","secondary","no",0,"yes","no","unknown",28,"may",386,1,-1,0,"unknown","0"
"52",35,"self-employed","married","tertiary","no",1340,"no","yes","cellular",19,"nov",169,1,-1,0,"unknown","0"
"53",43,"blue-collar","married","secondary","no",1149,"no","no","telephone",29,"jul",237,2,-1,0,"unknown","0"
"54",26,"student","single","secondary","no",132,"no","no","cellular",1,"oct",194,1,119,1,"success","1"
"55",33,"blue-collar","single","primary","no",777,"no","no","cellular",7,"jul",263,1,-1,0,"unknown","0"
"56",55,"self-employed","married","secondary","no",-196,"yes","no","unknown",20,"may",210,2,-1,0,"unknown","0"
"57",41,"technician","married","tertiary","no",231,"no","no","cellular",26,"aug",428,2,-1,0,"unknown","1"
"58",35,"blue-collar","married","secondary","no",11,"no","no","unknown",3,"jun",32,3,-1,0,"unknown","0"
"59",28,"technician","single","tertiary","no",-594,"yes","yes","cellular",15,"may",296,2,353,2,"other","0"
"60",50,"services","married","secondary","no",517,"yes","no","unknown",26,"may",420,2,-1,0,"unknown","0"
"61",33,"blue-collar","single","secondary","no",498,"no","no","cellular",30,"apr",301,1,-1,0,"unknown","1"
"62",44,"unemployed","single","tertiary","no",810,"no","no","cellular",4,"aug",184,1,-1,0,"unknown","0"
"63",33,"management","single","tertiary","no",224,"no","no","cellular",23,"jun",342,2,107,2,"success","1"
"64",44,"services","divorced","secondary","no",396,"yes","yes","unknown",7,"may",396,4,-1,0,"unknown","0"
"65",26,"management","single","tertiary","no",9447,"no","no","cellular",4,"sep",113,1,100,2,"other","0"
"66",50,"management","married","tertiary","no",0,"no","no","unknown",11,"jun",916,1,-1,0,"unknown","0"
"67",42,"blue-collar","married","secondary","no",3,"yes","no","telephone",20,"nov",47,1,190,1,"failure","0"
"68",66,"housemaid","divorced","primary","no",3701,"no","no","telephone",3,"mar",834,1,-1,0,"unknown","1"
"69",48,"technician","married","secondary","no",1600,"no","no","cellular",5,"aug",117,1,-1,0,"unknown","0"
"70",36,"unemployed","married","tertiary","no",39385,"no","no","cellular",1,"oct",120,1,-1,0,"unknown","0"
"71",40,"housemaid","married","secondary","no",1029,"yes","yes","cellular",17,"nov",117,2,117,3,"failure","0"
"72",59,"blue-collar","married","primary","no",460,"no","no","cellular",5,"aug",224,1,-1,0,"unknown","0"
"73",26,"technician","single","tertiary","no",777,"yes","no","cellular",14,"aug",260,2,463,1,"failure","0"
"74",30,"services","single","tertiary","no",803,"no","no","cellular",30,"apr",243,1,-1,0,"unknown","0"
"75",27,"management","single","tertiary","no",207,"no","no","telephone",26,"may",240,4,-1,0,"unknown","0"
"76",57,"retired","married","tertiary","no",31,"no","no","cellular",19,"aug",260,2,-1,0,"unknown","0"
"77",44,"technician","single","tertiary","no",166,"yes","no","unknown",13,"may",267,3,-1,0,"unknown","0"
"78",37,"blue-collar","married","unknown","no",897,"yes","no","cellular",13,"apr",119,2,280,2,"failure","0"
"79",26,"student","single","unknown","no",689,"no","no","cellular",25,"may",678,2,-1,0,"unknown","1"
"80",36,"services","divorced","secondary","no",241,"yes","no","unknown",8,"may",133,1,-1,0,"unknown","0"
"81",31,"admin.","married","secondary","no",8295,"yes","no","cellular",17,"apr",218,1,149,1,"failure","0"
"82",36,"housemaid","single","secondary","no",1015,"yes","no","cellular",18,"may",1008,1,347,2,"success","1"
"83",35,"admin.","married","secondary","no",269,"yes","yes","cellular",2,"jun",392,1,-1,0,"unknown","0"
"84",59,"retired","divorced","primary","no",830,"no","yes","cellular",8,"jul",116,1,-1,0,"unknown","0"
"85",38,"technician","divorced","secondary","no",410,"no","no","cellular",11,"aug",63,6,-1,0,"unknown","0"
"86",27,"technician","single","secondary","no",-211,"yes","no","cellular",7,"may",146,1,349,3,"failure","0"
"87",25,"admin.","married","unknown","no",349,"yes","no","cellular",22,"jul",1037,8,-1,0,"unknown","1"
"88",46,"technician","married","tertiary","no",675,"yes","no","unknown",8,"may",50,1,-1,0,"unknown","0"
"89",48,"blue-collar","married","primary","no",5154,"yes","no","unknown",14,"may",70,1,-1,0,"unknown","0"
"90",29,"blue-collar","single","secondary","no",783,"yes","no","unknown",13,"may",166,1,-1,0,"unknown","0"
"91",60,"retired","married","secondary","no",374,"no","no","cellular",19,"aug",276,2,-1,0,"unknown","0"
"92",28,"self-employed","single","tertiary","no",3290,"no","no","cellular",5,"jun",201,2,-1,0,"unknown","1"
"93",33,"unemployed","married","tertiary","no",271,"yes","yes","cellular",28,"jul",262,4,-1,0,"unknown","0"
"94",69,"technician","married","tertiary","no",482,"no","no","cellular",29,"jul",478,1,267,1,"failure","1"
"95",28,"technician","single","secondary","no",2335,"no","no","cellular",13,"may",624,1,-1,0,"unknown","1"
"96",49,"management","married","tertiary","no",5711,"yes","no","cellular",21,"nov",382,3,-1,0,"unknown","0"
"97",45,"admin.","married","secondary","yes",-106,"yes","yes","cellular",7,"may",553,3,288,1,"other","1"
"98",39,"admin.","divorced","secondary","no",1086,"no","no","cellular",24,"jul",92,1,-1,0,"unknown","0"
"99",37,"management","single","tertiary","no",1027,"yes","no","cellular",2,"mar",313,1,152,2,"success","1"
"100",39,"management","married","tertiary","no",346,"no","no","cellular",30,"jul",230,3,-1,0,"unknown","0"
"101",48,"admin.","married","secondary","no",1208,"no","no","telephone",18,"nov",126,4,-1,0,"unknown","0"
"102",61,"retired","married","tertiary","no",2557,"yes","no","cellular",10,"feb",158,2,92,5,"success","1"
"103",44,"blue-collar","divorced","primary","no",-57,"yes","no","cellular",7,"may",234,1,356,2,"failure","0"
"104",59,"admin.","married","secondary","no",-797,"no","yes","cellular",17,"jul",225,3,-1,0,"unknown","0"
"105",35,"entrepreneur","married","secondary","no",24,"yes","no","cellular",17,"nov",128,1,181,1,"failure","0"
"106",28,"blue-collar","single","primary","no",8263,"yes","no","unknown",2,"jun",267,1,-1,0,"unknown","0"
"107",35,"blue-collar","married","primary","no",2953,"yes","no","telephone",6,"may",97,2,-1,0,"unknown","0"
"108",60,"technician","single","primary","no",11262,"no","no","cellular",26,"aug",323,1,-1,0,"unknown","1"
"109",31,"management","married","tertiary","no",2,"yes","no","cellular",18,"nov",224,1,-1,0,"unknown","0"
"110",42,"blue-collar","married","primary","no",1673,"yes","no","cellular",17,"apr",636,3,-1,0,"unknown","1"
"111",37,"admin.","single","secondary","no",262,"no","no","cellular",7,"aug",305,1,179,5,"other","0"
"112",43,"unemployed","married","secondary","no",174,"no","yes","cellular",19,"aug",308,2,-1,0,"unknown","0"
"113",55,"technician","divorced","tertiary","no",0,"no","no","cellular",17,"nov",134,2,91,1,"success","1"
"114",57,"management","married","tertiary","no",0,"no","yes","cellular",30,"jan",209,2,197,2,"other","0"
"115",28,"technician","single","tertiary","no",2489,"yes","no","telephone",27,"feb",342,2,-1,0,"unknown","1"
"116",39,"blue-collar","single","primary","no",1220,"no","no","telephone",10,"jul",148,20,-1,0,"unknown","0"
"117",36,"blue-collar","married","secondary","no",342,"yes","no","cellular",18,"nov",305,1,-1,0,"unknown","0"
"118",36,"technician","married","secondary","no",1368,"no","no","cellular",1,"jun",516,1,292,5,"failure","1"
"119",27,"blue-collar","single","primary","no",265,"yes","no","cellular",13,"may",1119,2,-1,0,"unknown","1"
"120",34,"blue-collar","married","secondary","no",262,"no","no","cellular",1,"jun",339,1,-1,0,"unknown","1"
"121",53,"technician","married","secondary","no",100,"no","no","cellular",13,"aug",205,4,-1,0,"unknown","0"
"122",32,"services","single","secondary","no",2615,"no","no","cellular",19,"nov",853,1,-1,0,"unknown","1"
"123",34,"management","married","secondary","no",56,"yes","no","cellular",20,"nov",311,3,183,1,"failure","0"
"124",54,"management","married","tertiary","no",8509,"yes","no","cellular",7,"may",147,1,-1,0,"unknown","0"
"125",45,"services","single","secondary","no",1378,"yes","no","cellular",15,"may",25,5,372,2,"failure","0"
"126",45,"management","single","tertiary","no",2067,"yes","no","cellular",13,"aug",393,2,462,1,"success","1"
"127",44,"self-employed","married","tertiary","no",1196,"no","no","cellular",20,"aug",552,5,-1,0,"unknown","1"
"128",53,"admin.","married","tertiary","yes",6,"no","no","unknown",19,"may",105,11,-1,0,"unknown","0"
"129",32,"technician","single","tertiary","no",2340,"no","no","cellular",18,"feb",89,2,-1,0,"unknown","1"
"130",35,"management","married","tertiary","no",4124,"yes","no","cellular",23,"jul",350,2,445,7,"other","1"
"131",52,"technician","married","secondary","no",230,"yes","yes","cellular",21,"nov",89,4,-1,0,"unknown","0"
"132",45,"technician","married","secondary","no",1786,"yes","yes","telephone",15,"jul",78,4,-1,0,"unknown","0"
"133",40,"blue-collar","married","primary","no",3462,"yes","no","cellular",9,"feb",171,3,277,4,"other","0"
"134",46,"blue-collar","married","primary","no",809,"no","no","cellular",4,"aug",160,1,-1,0,"unknown","0"
"135",33,"unemployed","married","secondary","no",1211,"no","no","cellular",11,"feb",535,1,188,1,"success","1"
"136",31,"technician","single","tertiary","no",1320,"no","no","cellular",4,"feb",377,1,-1,0,"unknown","0"
"137",35,"services","married","secondary","no",629,"no","yes","cellular",8,"jul",518,2,-1,0,"unknown","0"
"138",54,"management","married","primary","no",630,"yes","no","cellular",17,"apr",99,2,-1,0,"unknown","0"
"139",43,"housemaid","married","tertiary","no",0,"no","no","cellular",27,"aug",103,6,-1,0,"unknown","0"
"140",66,"retired","married","tertiary","no",1948,"no","no","cellular",28,"jan",216,1,91,4,"success","1"
"141",27,"admin.","married","secondary","no",639,"no","yes","cellular",14,"jul",243,3,-1,0,"unknown","0"
"142",31,"admin.","single","tertiary","no",355,"yes","no","cellular",12,"may",609,1,-1,0,"unknown","1"
"143",35,"technician","married","tertiary","no",1006,"no","no","cellular",22,"aug",69,4,-1,0,"unknown","0"
"144",42,"services","married","unknown","no",7482,"no","no","cellular",21,"nov",126,2,-1,0,"unknown","0"
"145",52,"management","married","tertiary","no",1944,"yes","no","cellular",15,"apr",238,3,323,2,"failure","0"
"146",44,"technician","single","unknown","no",1431,"no","no","cellular",16,"jul",199,2,-1,0,"unknown","0"
"147",32,"admin.","married","tertiary","no",1,"yes","yes","cellular",10,"jul",143,1,-1,0,"unknown","0"
"148",49,"unemployed","married","primary","no",213,"no","no","cellular",28,"jan",60,1,-1,0,"unknown","0"
"149",41,"self-employed","single","tertiary","no",0,"no","no","cellular",18,"nov",256,1,-1,0,"unknown","0"
"150",36,"blue-collar","married","secondary","no",1193,"no","no","cellular",30,"oct",640,1,-1,0,"unknown","1"
"151",35,"blue-collar","single","primary","no",293,"yes","no","unknown",30,"may",521,2,-1,0,"unknown","0"
"152",58,"management","married","tertiary","no",16264,"no","no","telephone",17,"nov",215,3,-1,0,"unknown","0"
"153",26,"technician","single","tertiary","no",822,"no","no","telephone",3,"feb",371,3,-1,0,"unknown","0"
"154",44,"services","married","secondary","no",300,"yes","no","cellular",7,"jul",182,3,-1,0,"unknown","0"
"155",53,"admin.","single","primary","no",0,"yes","no","cellular",17,"jul",155,6,-1,0,"unknown","0"
"156",34,"technician","married","secondary","no",56,"no","no","cellular",19,"aug",91,2,-1,0,"unknown","0"
"157",45,"admin.","married","secondary","no",476,"no","no","cellular",6,"aug",356,1,364,1,"other","1"
"158",22,"student","single","secondary","no",948,"no","no","telephone",18,"aug",215,1,197,2,"failure","1"
"159",35,"blue-collar","single","secondary","no",507,"no","no","unknown",17,"jun",43,6,-1,0,"unknown","0"
"160",45,"management","married","secondary","no",2897,"no","no","cellular",15,"oct",531,4,105,7,"failure","0"
"161",27,"blue-collar","married","unknown","no",409,"yes","no","cellular",18,"may",525,1,-1,0,"unknown","1"
"162",34,"services","married","secondary","no",409,"yes","no","cellular",20,"apr",104,4,-1,0,"unknown","0"
"163",37,"blue-collar","married","primary","no",-106,"yes","yes","cellular",12,"may",690,1,-1,0,"unknown","1"
"164",33,"technician","married","secondary","no",1234,"no","no","cellular",19,"nov",109,1,10,1,"failure","0"
"165",55,"admin.","married","secondary","no",183,"yes","no","unknown",6,"may",150,1,-1,0,"unknown","0"
"166",52,"services","divorced","secondary","no",12,"yes","no","cellular",6,"may",78,1,170,1,"failure","0"
"167",30,"entrepreneur","single","primary","no",2816,"yes","no","cellular",21,"nov",71,1,-1,0,"unknown","0"
"168",20,"student","single","unknown","no",829,"no","no","cellular",9,"jul",253,2,-1,0,"unknown","1"
"169",41,"technician","single","tertiary","no",145,"no","no","cellular",22,"jul",1833,2,-1,0,"unknown","1"
"170",30,"blue-collar","married","secondary","no",501,"yes","yes","cellular",20,"nov",994,1,177,1,"failure","1"
"171",26,"admin.","single","secondary","no",1200,"no","no","cellular",29,"jan",232,3,-1,0,"unknown","0"
"172",42,"self-employed","married","tertiary","no",83,"yes","no","cellular",20,"aug",140,4,-1,0,"unknown","0"
"173",26,"admin.","single","secondary","no",255,"no","no","cellular",30,"apr",457,1,80,1,"success","1"
"174",34,"blue-collar","married","secondary","no",837,"yes","yes","cellular",13,"apr",495,1,-1,0,"unknown","0"
"175",48,"unemployed","married","primary","yes",-6,"no","no","cellular",29,"jan",362,2,-1,0,"unknown","0"
"176",45,"self-employed","single","secondary","no",2762,"yes","no","cellular",15,"may",18,6,-1,0,"unknown","0"
"177",43,"management","married","tertiary","no",2640,"no","no","cellular",21,"nov",314,4,-1,0,"unknown","1"
"178",31,"technician","married","tertiary","no",237,"yes","no","cellular",31,"jul",59,2,-1,0,"unknown","0"
"179",33,"blue-collar","married","secondary","no",1240,"yes","no","cellular",12,"may",844,1,-1,0,"unknown","1"
"180",58,"retired","married","primary","no",4158,"no","no","cellular",13,"aug",455,2,-1,0,"unknown","1"
"181",35,"management","married","tertiary","no",0,"yes","no","cellular",5,"aug",148,2,-1,0,"unknown","0"
"182",41,"admin.","married","secondary","no",1535,"yes","no","cellular",12,"may",261,1,363,1,"success","0"
"183",34,"technician","single","secondary","yes",-2,"no","yes","cellular",8,"jul",283,1,-1,0,"unknown","0"
"184",74,"retired","married","primary","no",670,"no","no","cellular",23,"apr",266,5,-1,0,"unknown","1"
"185",68,"retired","divorced","primary","no",695,"no","no","cellular",9,"apr",233,1,-1,0,"unknown","1"
"186",31,"management","single","tertiary","no",1308,"no","no","cellular",22,"aug",323,3,-1,0,"unknown","0"
"187",45,"services","married","secondary","no",350,"yes","yes","unknown",13,"may",146,1,-1,0,"unknown","0"
"188",32,"services","married","secondary","no",3839,"yes","no","cellular",18,"nov",100,2,189,1,"failure","0"
"189",20,"admin.","single","secondary","no",66,"yes","no","unknown",19,"jun",75,2,-1,0,"unknown","0"
"190",39,"housemaid","married","primary","no",34,"yes","no","cellular",14,"jul",377,3,-1,0,"unknown","0"
"191",33,"blue-collar","single","secondary","no",1925,"yes","no","cellular",2,"mar",76,2,-1,0,"unknown","0"
"192",43,"management","divorced","tertiary","no",481,"yes","no","cellular",3,"jun",187,1,20,1,"other","1"
"193",42,"admin.","married","secondary","no",641,"no","no","cellular",4,"aug",111,1,1,1,"other","0"
"194",49,"technician","divorced","tertiary","no",596,"yes","no","telephone",15,"sep",722,1,-1,0,"unknown","1"
"195",58,"management","married","tertiary","no",4152,"yes","no","cellular",30,"apr",750,2,164,4,"other","1"
"196",47,"blue-collar","married","secondary","no",762,"yes","no","unknown",29,"may",56,3,-1,0,"unknown","0"
"197",41,"unemployed","married","tertiary","no",0,"no","no","cellular",30,"oct",373,3,-1,0,"unknown","1"
"198",68,"retired","divorced","primary","no",2027,"no","no","cellular",14,"sep",404,2,91,4,"success","1"
"199",33,"technician","married","secondary","no",1264,"no","yes","cellular",8,"aug",100,6,-1,0,"unknown","0"
"200",53,"management","married","tertiary","no",583,"no","no","cellular",17,"nov",226,1,184,4,"success","1"
"201",32,"technician","single","tertiary","no",1710,"yes","no","cellular",15,"may",439,1,175,3,"other","0"
"202",47,"management","married","tertiary","no",1425,"no","no","cellular",29,"jan",113,1,-1,0,"unknown","0"
"203",55,"housemaid","married","primary","no",136,"yes","no","unknown",19,"jun",15,10,-1,0,"unknown","0"
"204",52,"unknown","married","secondary","no",142,"no","no","cellular",25,"aug",112,6,-1,0,"unknown","0"
"205",29,"management","single","tertiary","no",224,"yes","no","cellular",24,"apr",65,2,81,3,"failure","1"
"206",32,"technician","single","secondary","no",283,"yes","no","cellular",29,"jan",71,1,-1,0,"unknown","0"
"207",21,"student","single","secondary","no",1746,"no","no","cellular",21,"aug",487,2,-1,0,"unknown","0"
"208",20,"student","single","secondary","no",88,"no","no","telephone",21,"oct",621,1,181,4,"other","0"
"209",45,"management","married","tertiary","no",506,"no","no","cellular",23,"apr",229,2,-1,0,"unknown","1"
"210",53,"blue-collar","married","primary","no",751,"yes","no","cellular",3,"feb",1528,2,-1,0,"unknown","1"
"211",72,"retired","married","tertiary","no",3561,"no","no","telephone",15,"sep",511,3,184,7,"success","1"
"212",57,"admin.","married","secondary","no",567,"yes","no","cellular",2,"feb",87,2,265,3,"other","0"
"213",59,"retired","married","tertiary","no",1296,"no","no","cellular",11,"aug",862,11,-1,0,"unknown","0"
"214",48,"management","single","tertiary","no",4558,"no","no","cellular",14,"aug",145,2,-1,0,"unknown","0"
"215",47,"blue-collar","married","primary","no",-127,"yes","no","unknown",3,"jun",170,3,-1,0,"unknown","0"
"216",32,"management","single","tertiary","no",2,"yes","no","cellular",11,"sep",100,2,-1,0,"unknown","1"
"217",37,"admin.","single","secondary","no",9,"yes","no","cellular",14,"may",165,1,-1,0,"unknown","0"
"218",39,"technician","divorced","secondary","no",507,"no","no","cellular",20,"aug",173,4,-1,0,"unknown","0"
"219",56,"management","married","unknown","no",4623,"no","no","cellular",17,"aug",348,1,-1,0,"unknown","1"
"220",35,"student","single","secondary","no",2960,"yes","no","unknown",30,"may",123,2,-1,0,"unknown","0"
"221",64,"management","married","tertiary","no",5112,"no","no","telephone",19,"oct",898,7,137,11,"other","1"
"222",31,"management","married","tertiary","no",3,"yes","yes","cellular",11,"feb",331,1,-1,0,"unknown","1"
"223",50,"admin.","married","unknown","no",-1137,"yes","yes","unknown",20,"jun",64,1,-1,0,"unknown","0"
"224",39,"management","married","tertiary","no",28433,"no","no","cellular",13,"aug",247,2,-1,0,"unknown","0"
"225",23,"technician","single","secondary","no",283,"yes","no","cellular",22,"sep",175,1,184,2,"success","1"
"226",46,"management","divorced","secondary","yes",2,"no","no","cellular",12,"may",115,1,-1,0,"unknown","0"
"227",41,"technician","married","secondary","no",261,"no","yes","unknown",5,"jun",222,1,-1,0,"unknown","0"
"228",53,"management","married","tertiary","no",6571,"no","no","cellular",3,"feb",208,1,-1,0,"unknown","1"
"229",42,"technician","married","secondary","no",0,"yes","no","unknown",14,"may",833,1,-1,0,"unknown","0"
"230",38,"management","divorced","unknown","no",0,"yes","no","cellular",18,"nov",96,2,-1,0,"unknown","0"
"231",39,"blue-collar","married","unknown","no",621,"yes","no","cellular",20,"apr",1333,5,-1,0,"unknown","1"
"232",38,"blue-collar","single","tertiary","no",2885,"yes","no","unknown",20,"jun",1422,10,-1,0,"unknown","1"
"233",37,"student","single","unknown","no",444,"no","no","cellular",4,"may",1063,5,-1,0,"unknown","1"
"234",37,"self-employed","married","primary","no",0,"no","no","unknown",7,"may",112,4,-1,0,"unknown","0"
"235",26,"technician","single","tertiary","no",1274,"no","no","telephone",29,"jan",475,2,-1,0,"unknown","0"
"236",38,"technician","single","unknown","no",1923,"no","no","cellular",30,"jul",331,4,-1,0,"unknown","0"
"237",40,"unemployed","divorced","secondary","no",452,"no","no","cellular",20,"nov",98,1,-1,0,"unknown","0"
"238",30,"technician","single","secondary","no",8826,"yes","no","cellular",20,"apr",90,3,151,3,"other","0"
"239",42,"services","married","secondary","no",174,"yes","no","cellular",11,"may",67,1,-1,0,"unknown","0"
"240",35,"admin.","divorced","secondary","no",1803,"no","no","cellular",28,"jan",61,2,-1,0,"unknown","0"
"241",32,"services","married","secondary","no",1082,"yes","no","cellular",19,"nov",770,1,-1,0,"unknown","0"
"242",44,"self-employed","single","tertiary","no",1367,"yes","no","cellular",13,"apr",1232,3,146,1,"other","1"
"243",38,"management","single","tertiary","no",455,"yes","no","cellular",19,"feb",255,2,555,6,"success","1"
"244",31,"admin.","single","secondary","no",620,"no","no","unknown",9,"may",166,3,-1,0,"unknown","0"
"245",37,"blue-collar","married","secondary","no",513,"yes","no","cellular",13,"may",134,1,362,3,"failure","0"
"246",55,"retired","divorced","primary","no",925,"no","no","unknown",17,"jun",254,1,-1,0,"unknown","0"
"247",39,"blue-collar","single","tertiary","no",172,"yes","no","cellular",10,"aug",248,1,131,1,"success","0"
"248",48,"services","married","secondary","no",7434,"no","no","unknown",17,"jun",986,1,-1,0,"unknown","0"
"249",42,"technician","married","tertiary","no",14282,"yes","no","cellular",6,"aug",649,4,-1,0,"unknown","1"
"250",71,"retired","divorced","unknown","no",392,"no","no","telephone",7,"jul",276,2,-1,0,"unknown","1"
"251",42,"admin.","divorced","secondary","no",936,"no","no","cellular",30,"jan",931,1,-1,0,"unknown","1"
"252",41,"management","single","tertiary","no",260,"no","no","cellular",4,"aug",149,1,-1,0,"unknown","0"
"253",42,"technician","divorced","secondary","no",2974,"yes","no","unknown",21,"may",187,5,-1,0,"unknown","0"
"254",52,"housemaid","married","primary","no",10943,"no","no","cellular",16,"sep",292,1,-1,0,"unknown","1"
"255",34,"admin.","single","secondary","no",6979,"yes","no","cellular",15,"may",14,5,-1,0,"unknown","0"
"256",29,"technician","single","tertiary","no",7,"yes","no","cellular",29,"jul",70,5,-1,0,"unknown","0"
"257",43,"technician","married","tertiary","no",4333,"yes","no","cellular",20,"nov",1490,3,-1,0,"unknown","1"
"258",54,"unknown","married","unknown","no",895,"no","no","cellular",7,"oct",335,1,-1,0,"unknown","1"
"259",55,"services","married","secondary","no",752,"no","no","unknown",17,"jun",204,2,-1,0,"unknown","0"
"260",27,"technician","single","secondary","no",3,"no","no","unknown",3,"jun",68,6,-1,0,"unknown","0"
"261",37,"technician","married","secondary","no",480,"no","no","cellular",22,"oct",344,2,182,8,"other","1"
"262",45,"self-employed","married","tertiary","no",125,"no","no","cellular",29,"jan",304,2,-1,0,"unknown","0"
"263",34,"self-employed","married","tertiary","no",870,"no","no","cellular",10,"jul",58,1,-1,0,"unknown","0"
"264",30,"unemployed","married","tertiary","no",330,"no","no","cellular",3,"jul",264,1,80,1,"success","1"
"265",24,"technician","single","secondary","no",409,"yes","no","unknown",16,"may",912,1,-1,0,"unknown","1"
