"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome"
"22",61,"retired","divorced","secondary","no",4243,"no","no","cellular",30,"apr",315,1,182,2,"success"
"23",37,"technician","married","tertiary","no",512,"no","no","cellular",9,"jul",61,4,-1,0,"unknown"
"24",38,"management","single","tertiary","no",690,"yes","no","unknown",20,"may",34,1,-1,0,"unknown"
"25",44,"admin.","divorced","secondary","no",163,"yes","no","cellular",14,"jul",1669,2,-1,0,"unknown"
"26",47,"management","single","tertiary","no",334,"yes","no","cellular",26,"mar",360,1,326,8,"failure"
"27",43,"management","single","tertiary","no",1046,"no","no","unknown",9,"jun",901,1,-1,0,"unknown"
"28",64,"retired","married","tertiary","no",846,"no","no","cellular",11,"feb",671,1,181,3,"failure"
"29",59,"admin.","married","primary","no",4387,"yes","no","telephone",16,"jul",73,6,-1,0,"unknown"
"30",32,"student","single","tertiary","no",1138,"no","no","cellular",4,"may",214,3,83,3,"success"
"31",38,"blue-collar","married","secondary","no",213,"yes","no","unknown",16,"jun",270,15,-1,0,"unknown"
"32",39,"technician","married","secondary","no",140,"no","no","cellular",22,"aug",110,1,-1,0,"unknown"
"33",33,"management","married","tertiary","no",1514,"no","no","cellular",10,"aug",447,1,728,2,"failure"
"34",75,"retired","married","tertiary","no",6027,"no","no","cellular",16,"nov",1248,2,94,2,"failure"
"35",37,"services","single","secondary","no",1045,"no","no","cellular",17,"mar",406,2,41,1,"failure"
"36",43,"entrepreneur","married","secondary","no",0,"no","no","unknown",3,"jun",1025,7,-1,0,"unknown"
"37",28,"blue-collar","married","secondary","no",110,"yes","no","unknown",27,"may",420,1,-1,0,"unknown"
"38",30,"technician","married","tertiary","no",569,"no","no","cellular",27,"aug",976,12,-1,0,"unknown"
"39",64,"unemployed","divorced","secondary","no",588,"no","no","cellular",8,"mar",409,1,-1,0,"unknown"
"40",30,"services","married","secondary","no",129,"yes","no","unknown",26,"may",1446,7,-1,0,"unknown"
"41",39,"technician","married","secondary","no",140,"no","no","cellular",22,"aug",110,1,-1,0,"unknown"
"42",52,"unemployed","married","primary","no",255,"no","yes","cellular",10,"jul",374,3,-1,0,"unknown"
"43",45,"admin.","divorced","secondary","no",660,"yes","no","unknown",15,"may",71,2,-1,0,"unknown"
"44",43,"blue-collar","married","primary","no",61,"yes","no","unknown",7,"may",261,1,-1,0,"unknown"
"45",50,"blue-collar","married","primary","no",-522,"yes","no","cellular",13,"may",863,3,-1,0,"unknown"
"46",36,"management","divorced","tertiary","no",133,"yes","no","unknown",9,"may",117,1,-1,0,"unknown"
"47",49,"management","single","tertiary","no",151,"yes","no","cellular",8,"jul",97,3,-1,0,"unknown"
"48",22,"student","single","secondary","no",2412,"yes","no","unknown",9,"may",238,2,-1,0,"unknown"
"49",37,"admin.","single","secondary","no",1003,"no","no","cellular",9,"jul",259,3,-1,0,"unknown"
"50",32,"management","married","tertiary","no",92,"no","no","unknown",3,"jul",116,1,-1,0,"unknown"
"51",20,"student","single","unknown","no",2785,"no","no","cellular",16,"sep",327,2,-1,0,"unknown"
"52",47,"technician","married","tertiary","no",3690,"no","no","cellular",7,"aug",228,2,-1,0,"unknown"
"53",39,"technician","married","secondary","no",0,"no","no","cellular",6,"aug",84,4,-1,0,"unknown"
"54",28,"blue-collar","married","secondary","no",339,"yes","no","unknown",26,"may",100,2,-1,0,"unknown"
"55",38,"management","single","tertiary","no",690,"yes","no","unknown",20,"may",34,1,-1,0,"unknown"
"56",41,"management","married","tertiary","no",-556,"yes","yes","unknown",26,"may",127,3,-1,0,"unknown"
"57",34,"technician","married","secondary","no",260,"yes","no","cellular",22,"aug",142,2,-1,0,"unknown"
"58",64,"retired","married","secondary","no",588,"no","no","cellular",18,"jan",366,1,91,2,"failure"
"59",31,"management","single","tertiary","no",1,"no","no","cellular",26,"aug",107,5,-1,0,"unknown"
"60",54,"unknown","married","secondary","no",2206,"no","no","cellular",13,"may",260,1,91,4,"success"
"61",26,"management","single","tertiary","no",4116,"yes","no","cellular",5,"may",301,1,-1,0,"unknown"
"62",42,"management","married","tertiary","no",2816,"no","no","cellular",10,"nov",193,2,-1,0,"unknown"
"63",31,"management","married","tertiary","no",432,"yes","no","cellular",21,"nov",197,1,-1,0,"unknown"
"64",37,"services","married","secondary","no",812,"yes","yes","cellular",11,"may",184,2,-1,0,"unknown"
"65",33,"technician","single","tertiary","no",1636,"yes","no","cellular",4,"may",592,1,66,1,"success"
"66",34,"blue-collar","married","secondary","no",1464,"yes","no","cellular",28,"aug",207,3,130,5,"other"
"67",35,"management","married","tertiary","no",8000,"no","no","cellular",13,"may",331,1,90,3,"success"
"68",50,"services","married","secondary","no",1501,"no","no","cellular",21,"aug",946,4,-1,0,"unknown"
"69",36,"admin.","divorced","secondary","no",506,"yes","no","unknown",5,"may",577,1,-1,0,"unknown"
"70",31,"services","married","secondary","yes",-455,"no","yes","cellular",16,"jul",168,2,-1,0,"unknown"
"71",32,"technician","single","unknown","no",317,"yes","no","unknown",21,"may",394,2,-1,0,"unknown"
"72",39,"entrepreneur","married","tertiary","no",1654,"no","no","cellular",17,"nov",376,1,-1,0,"unknown"
"73",47,"retired","married","tertiary","no",1225,"yes","yes","cellular",29,"jan",191,3,227,2,"failure"
"74",28,"blue-collar","single","tertiary","no",1984,"yes","no","cellular",10,"aug",89,1,98,3,"failure"
"75",53,"management","married","tertiary","no",15,"no","no","cellular",20,"aug",921,2,-1,0,"unknown"
"76",25,"student","married","tertiary","no",10,"yes","no","cellular",21,"jul",857,4,-1,0,"unknown"
"77",51,"blue-collar","married","primary","no",1203,"yes","yes","telephone",13,"may",25,4,350,7,"failure"
"78",34,"self-employed","divorced","secondary","no",172,"yes","no","cellular",18,"nov",65,1,-1,0,"unknown"
"79",25,"technician","single","secondary","no",1312,"yes","no","cellular",16,"apr",307,1,-1,0,"unknown"
"80",32,"blue-collar","married","secondary","no",0,"no","no","cellular",6,"feb",350,1,-1,0,"unknown"
"81",27,"management","single","tertiary","no",6791,"no","no","cellular",5,"aug",179,2,69,26,"other"
"82",33,"technician","married","unknown","no",1450,"no","no","cellular",27,"apr",81,1,-1,0,"unknown"
"83",29,"technician","single","secondary","yes",-368,"yes","no","cellular",5,"may",151,1,-1,0,"unknown"
"84",46,"management","divorced","tertiary","no",1297,"no","no","cellular",11,"aug",716,3,-1,0,"unknown"
"85",33,"blue-collar","married","tertiary","no",870,"no","yes","cellular",8,"jul",545,3,-1,0,"unknown"
"86",63,"retired","married","secondary","no",1612,"no","no","cellular",19,"aug",399,2,183,2,"success"
"87",53,"admin.","divorced","unknown","no",257,"no","no","cellular",11,"jul",1310,2,-1,0,"unknown"
"88",31,"management","divorced","tertiary","no",414,"no","yes","cellular",16,"jul",241,1,-1,0,"unknown"
"89",29,"services","married","secondary","no",6567,"yes","no","cellular",15,"may",792,2,298,1,"failure"
"90",52,"admin.","married","secondary","no",1274,"yes","no","cellular",17,"nov",74,1,-1,0,"unknown"
"91",37,"technician","divorced","secondary","no",3068,"yes","yes","cellular",20,"nov",370,2,195,1,"other"
"92",55,"admin.","married","secondary","no",602,"no","no","cellular",1,"jun",324,3,90,2,"success"
"93",34,"technician","married","secondary","no",1,"no","no","cellular",28,"aug",535,2,-1,0,"unknown"
"94",37,"management","married","secondary","no",565,"no","no","cellular",6,"aug",174,1,93,3,"failure"
"95",51,"services","divorced","secondary","no",9,"no","no","unknown",18,"jun",371,2,-1,0,"unknown"
"96",36,"services","divorced","secondary","yes",0,"no","yes","cellular",15,"jul",687,7,-1,0,"unknown"
"97",71,"retired","divorced","tertiary","no",780,"no","no","telephone",22,"apr",220,1,-1,0,"unknown"
"98",47,"technician","married","secondary","no",-59,"yes","yes","cellular",11,"may",502,1,343,2,"failure"
"99",37,"technician","single","unknown","no",391,"yes","no","unknown",8,"may",103,3,-1,0,"unknown"
"100",33,"technician","married","secondary","no",6947,"yes","no","cellular",20,"apr",250,2,-1,0,"unknown"
"101",41,"services","married","secondary","no",471,"yes","no","cellular",13,"may",954,2,293,4,"success"
"102",28,"management","single","tertiary","no",1840,"no","no","cellular",28,"dec",1472,1,143,10,"other"
"103",31,"management","single","tertiary","no",617,"no","no","cellular",4,"jun",1161,1,97,2,"success"
"104",42,"management","married","primary","no",5310,"yes","no","cellular",22,"may",545,2,186,1,"success"
"105",39,"management","single","tertiary","no",763,"no","no","cellular",22,"feb",543,1,189,1,"failure"
"106",37,"blue-collar","married","primary","no",3154,"yes","no","cellular",17,"apr",404,1,305,3,"failure"
"107",60,"management","married","tertiary","no",73,"no","no","telephone",8,"aug",243,2,-1,0,"unknown"
"108",26,"blue-collar","single","secondary","no",-93,"yes","no","cellular",18,"may",599,2,-1,0,"unknown"
"109",32,"admin.","single","secondary","no",708,"no","no","unknown",9,"may",109,1,-1,0,"unknown"
"110",31,"admin.","married","secondary","no",35,"no","no","cellular",13,"aug",315,2,105,1,"success"
"111",48,"technician","married","secondary","no",0,"yes","yes","unknown",2,"jul",44,2,-1,0,"unknown"
"112",35,"technician","married","tertiary","no",7050,"no","no","cellular",11,"aug",222,3,182,4,"success"
"113",25,"admin.","single","secondary","no",285,"no","no","cellular",3,"jul",658,3,-1,0,"unknown"
"114",36,"admin.","single","secondary","no",245,"yes","no","cellular",6,"may",159,1,-1,0,"unknown"
"115",37,"admin.","married","tertiary","no",29,"no","no","cellular",14,"may",404,2,183,2,"other"
"116",33,"management","single","tertiary","no",1781,"no","no","cellular",8,"oct",611,2,183,1,"success"
"117",37,"blue-collar","married","primary","no",0,"no","no","telephone",11,"may",108,2,306,1,"failure"
"118",70,"management","married","tertiary","no",10171,"no","no","cellular",18,"aug",65,2,-1,0,"unknown"
"119",59,"unemployed","single","primary","no",7724,"no","no","cellular",21,"nov",373,3,-1,0,"unknown"
"120",27,"services","single","tertiary","no",5883,"yes","no","unknown",28,"may",325,2,-1,0,"unknown"
"121",30,"technician","single","secondary","no",158,"no","no","cellular",6,"oct",144,1,-1,0,"unknown"
"122",35,"technician","married","secondary","no",4922,"yes","no","cellular",17,"nov",393,4,201,17,"other"
"123",30,"services","divorced","secondary","no",1016,"yes","no","unknown",29,"may",14,1,-1,0,"unknown"
"124",30,"technician","married","secondary","no",-189,"no","no","cellular",19,"aug",105,2,-1,0,"unknown"
"125",29,"technician","single","tertiary","no",615,"yes","no","cellular",18,"may",373,1,-1,0,"unknown"
"126",36,"blue-collar","divorced","secondary","no",2843,"no","no","cellular",14,"aug",186,1,-1,0,"unknown"
"127",32,"blue-collar","married","secondary","no",2502,"yes","no","cellular",24,"jul",604,1,-1,0,"unknown"
"128",59,"retired","married","secondary","no",1035,"yes","yes","cellular",5,"aug",223,1,-1,0,"unknown"
"129",56,"management","married","tertiary","no",616,"no","no","cellular",13,"aug",293,2,105,2,"success"
"130",30,"admin.","single","secondary","no",914,"yes","no","cellular",28,"oct",524,3,272,1,"failure"
"131",44,"housemaid","married","tertiary","no",460,"no","no","unknown",17,"jun",491,1,-1,0,"unknown"
"132",40,"technician","married","secondary","no",372,"yes","no","cellular",13,"aug",100,2,-1,0,"unknown"
"133",33,"admin.","married","secondary","no",1737,"no","no","cellular",30,"apr",524,2,-1,0,"unknown"
"134",42,"technician","divorced","secondary","no",1689,"yes","no","cellular",31,"jul",50,2,-1,0,"unknown"
"135",33,"admin.","single","tertiary","no",272,"yes","no","cellular",1,"sep",293,2,92,3,"success"
"136",53,"blue-collar","married","secondary","no",974,"yes","no","unknown",26,"may",197,2,-1,0,"unknown"
"137",42,"management","married","primary","no",5310,"yes","no","cellular",22,"may",545,2,186,1,"success"
"138",30,"admin.","married","secondary","no",396,"yes","no","cellular",13,"may",366,3,348,2,"failure"
"139",35,"technician","single","secondary","no",175,"yes","no","cellular",29,"jan",219,1,246,1,"failure"
"140",33,"management","single","tertiary","no",4176,"no","no","cellular",26,"mar",288,3,-1,0,"unknown"
"141",41,"technician","married","secondary","no",2851,"no","no","cellular",18,"aug",296,3,-1,0,"unknown"
"142",55,"technician","married","tertiary","no",169,"no","yes","cellular",5,"aug",618,2,-1,0,"unknown"
"143",30,"blue-collar","single","secondary","no",1837,"yes","no","cellular",18,"may",109,2,-1,0,"unknown"
"144",30,"blue-collar","married","secondary","no",3,"no","no","cellular",15,"may",42,2,297,1,"failure"
"145",30,"admin.","single","secondary","no",255,"no","no","cellular",27,"jan",143,1,-1,0,"unknown"
"146",34,"blue-collar","married","secondary","no",2495,"yes","no","unknown",23,"may",924,1,-1,0,"unknown"
"147",44,"admin.","married","secondary","no",73,"yes","no","unknown",16,"may",404,1,-1,0,"unknown"
"148",36,"admin.","single","secondary","no",245,"yes","no","cellular",6,"may",159,1,-1,0,"unknown"
"149",29,"housemaid","single","tertiary","no",453,"no","no","cellular",13,"aug",126,2,-1,0,"unknown"
"150",37,"technician","single","secondary","no",1435,"no","no","cellular",18,"aug",724,16,-1,0,"unknown"
"151",32,"admin.","married","secondary","no",995,"no","no","cellular",3,"sep",331,1,99,2,"other"
"152",33,"admin.","married","secondary","no",1737,"no","no","cellular",30,"apr",524,2,-1,0,"unknown"
"153",41,"blue-collar","married","primary","no",492,"yes","yes","unknown",16,"jun",157,29,-1,0,"unknown"
"154",34,"technician","single","secondary","no",5731,"yes","no","cellular",21,"jul",101,3,-1,0,"unknown"
"155",48,"blue-collar","divorced","secondary","no",1893,"no","no","telephone",29,"jul",538,3,-1,0,"unknown"
"156",30,"management","single","tertiary","no",5389,"no","no","cellular",6,"aug",1456,3,-1,0,"unknown"
"157",47,"blue-collar","married","primary","no",6150,"yes","no","cellular",13,"may",444,2,174,2,"failure"
"158",85,"retired","married","primary","no",98,"no","no","cellular",30,"apr",416,1,-1,0,"unknown"
"159",60,"admin.","married","secondary","no",106,"no","no","cellular",21,"aug",216,3,91,1,"success"
"160",29,"admin.","single","secondary","no",266,"yes","no","cellular",6,"may",540,1,-1,0,"unknown"
"161",60,"blue-collar","married","primary","no",631,"no","no","cellular",12,"aug",429,2,-1,0,"unknown"
"162",48,"management","married","secondary","no",2892,"no","no","cellular",7,"jul",407,1,385,1,"success"
"163",64,"management","married","unknown","no",2352,"no","no","cellular",4,"may",153,2,182,11,"success"
"164",48,"management","married","secondary","no",0,"yes","yes","cellular",3,"nov",1233,1,351,2,"failure"
"165",53,"blue-collar","married","secondary","no",974,"yes","no","unknown",26,"may",197,2,-1,0,"unknown"
"166",35,"technician","single","tertiary","no",670,"no","no","cellular",13,"oct",301,2,-1,0,"unknown"
"167",35,"management","single","tertiary","no",5958,"yes","no","cellular",22,"mar",215,1,-1,0,"unknown"
"168",65,"management","married","secondary","no",587,"no","no","cellular",15,"apr",223,2,-1,0,"unknown"
"169",45,"technician","single","primary","no",237,"yes","no","cellular",14,"apr",110,1,263,1,"failure"
"170",21,"student","single","primary","no",423,"no","no","cellular",8,"apr",104,5,-1,0,"unknown"
"171",45,"management","divorced","tertiary","no",1,"no","no","cellular",6,"aug",490,2,-1,0,"unknown"
"172",36,"services","married","secondary","no",981,"no","no","unknown",16,"jun",1093,1,-1,0,"unknown"
"173",36,"services","divorced","secondary","yes",0,"no","yes","cellular",15,"jul",687,7,-1,0,"unknown"
"174",33,"technician","married","secondary","no",73,"yes","no","cellular",2,"jul",218,1,-1,0,"unknown"
"175",42,"admin.","married","secondary","no",-150,"no","yes","cellular",8,"jul",249,3,-1,0,"unknown"
"176",54,"entrepreneur","married","tertiary","no",345,"no","no","cellular",14,"aug",183,6,-1,0,"unknown"
"177",29,"student","single","secondary","no",1377,"yes","no","cellular",3,"aug",248,1,446,2,"success"
"178",31,"management","single","tertiary","no",617,"no","no","cellular",4,"jun",1161,1,97,2,"success"
"179",63,"retired","single","tertiary","no",791,"no","no","cellular",21,"oct",212,2,-1,0,"unknown"
"180",37,"services","divorced","secondary","no",49,"yes","no","unknown",16,"may",619,2,-1,0,"unknown"
"181",51,"management","married","tertiary","no",469,"no","no","cellular",15,"apr",200,1,181,2,"success"
"182",60,"admin.","married","secondary","no",3735,"no","no","cellular",22,"sep",183,1,184,11,"success"
"183",37,"admin.","single","secondary","no",192,"yes","no","unknown",23,"may",105,2,-1,0,"unknown"
"184",48,"blue-collar","married","secondary","no",480,"yes","no","cellular",15,"may",830,1,352,2,"failure"
"185",43,"entrepreneur","married","secondary","no",860,"yes","yes","cellular",15,"jul",131,5,-1,0,"unknown"
"186",59,"retired","married","secondary","no",1035,"yes","yes","cellular",5,"aug",223,1,-1,0,"unknown"
"187",32,"management","single","tertiary","no",751,"yes","no","unknown",8,"may",64,1,-1,0,"unknown"
"188",48,"blue-collar","married","primary","no",490,"yes","no","unknown",19,"may",622,2,-1,0,"unknown"
"189",29,"blue-collar","single","secondary","no",783,"yes","no","unknown",13,"may",166,1,-1,0,"unknown"
"190",29,"services","single","secondary","no",2559,"no","no","cellular",4,"feb",214,2,-1,0,"unknown"
"191",35,"self-employed","married","secondary","no",598,"yes","no","cellular",20,"apr",245,1,-1,0,"unknown"
"192",36,"management","single","tertiary","no",479,"no","no","cellular",9,"feb",629,2,-1,0,"unknown"
"193",22,"management","single","secondary","no",594,"yes","no","unknown",13,"may",154,1,-1,0,"unknown"
"194",42,"technician","married","tertiary","no",-215,"no","no","unknown",20,"jun",1573,5,-1,0,"unknown"
"195",33,"technician","single","secondary","no",5833,"yes","no","cellular",8,"aug",93,2,-1,0,"unknown"
"196",54,"self-employed","married","tertiary","no",990,"no","no","cellular",3,"jun",244,2,-1,0,"unknown"
"197",51,"admin.","married","secondary","no",3025,"no","no","cellular",7,"may",476,1,352,1,"other"
"198",47,"technician","married","secondary","no",-59,"yes","yes","cellular",11,"may",502,1,343,2,"failure"
"199",42,"management","single","tertiary","no",2032,"yes","no","cellular",24,"jul",1173,4,-1,0,"unknown"
"200",35,"management","married","tertiary","no",0,"no","no","cellular",21,"nov",240,1,-1,0,"unknown"
"201",35,"technician","single","tertiary","no",7546,"yes","no","cellular",28,"aug",255,1,88,2,"other"
"202",44,"blue-collar","married","primary","no",276,"yes","no","cellular",30,"jul",535,2,-1,0,"unknown"
"203",36,"unemployed","single","tertiary","no",1291,"no","no","cellular",30,"apr",195,1,86,1,"success"
"204",79,"retired","married","secondary","no",2661,"no","no","cellular",10,"nov",254,5,-1,0,"unknown"
"205",31,"technician","single","secondary","no",106,"yes","no","cellular",8,"may",94,1,-1,0,"unknown"
"206",39,"student","single","tertiary","no",2103,"no","no","cellular",2,"feb",588,1,-1,0,"unknown"
"207",34,"management","single","tertiary","no",13014,"no","no","cellular",12,"feb",637,1,183,1,"success"
"208",42,"blue-collar","married","secondary","no",2256,"yes","no","unknown",16,"jun",315,1,-1,0,"unknown"
"209",46,"self-employed","married","tertiary","no",2303,"yes","no","unknown",7,"may",241,1,-1,0,"unknown"
"210",46,"management","married","tertiary","no",0,"no","no","cellular",20,"aug",96,3,-1,0,"unknown"
"211",43,"admin.","single","secondary","no",13,"no","yes","unknown",1,"jul",119,1,-1,0,"unknown"
"212",29,"services","single","secondary","no",84,"no","yes","unknown",3,"jul",587,3,-1,0,"unknown"
"213",27,"student","single","secondary","no",279,"no","no","cellular",12,"oct",323,1,-1,0,"unknown"
"214",48,"management","married","tertiary","no",157,"no","no","cellular",28,"jan",417,4,-1,0,"unknown"
"215",52,"services","married","primary","no",432,"no","no","cellular",8,"aug",424,4,-1,0,"unknown"
"216",67,"retired","married","unknown","no",2540,"no","no","telephone",14,"sep",279,3,92,9,"success"
"217",41,"services","married","secondary","no",-140,"no","yes","unknown",6,"jun",190,1,-1,0,"unknown"
"218",36,"blue-collar","married","secondary","no",56,"no","no","unknown",24,"jun",481,6,-1,0,"unknown"
"219",40,"blue-collar","married","secondary","no",-438,"no","no","cellular",11,"may",1017,1,-1,0,"unknown"
"220",65,"management","married","secondary","no",587,"no","no","cellular",15,"apr",223,2,-1,0,"unknown"
"221",32,"self-employed","divorced","tertiary","no",3695,"yes","no","cellular",15,"may",34,1,353,3,"other"
"222",29,"services","single","secondary","no",-271,"yes","no","unknown",4,"jun",578,1,-1,0,"unknown"
"223",37,"blue-collar","married","secondary","no",56,"yes","no","cellular",20,"apr",46,2,285,1,"failure"
"224",46,"management","divorced","tertiary","no",2166,"yes","no","cellular",23,"jul",870,1,-1,0,"unknown"
"225",59,"management","married","secondary","no",1321,"no","no","unknown",9,"jun",3881,3,-1,0,"unknown"
"226",43,"unemployed","married","secondary","no",0,"yes","yes","cellular",23,"sep",183,2,184,13,"failure"
"227",37,"admin.","single","secondary","no",1003,"no","no","cellular",9,"jul",259,3,-1,0,"unknown"
"228",55,"technician","married","tertiary","no",169,"no","yes","cellular",5,"aug",618,2,-1,0,"unknown"
"229",35,"management","single","tertiary","no",688,"no","no","cellular",2,"feb",504,1,-1,0,"unknown"
"230",39,"services","married","secondary","no",186,"yes","no","cellular",17,"apr",433,1,-1,0,"unknown"
"231",31,"admin.","single","secondary","no",378,"no","no","cellular",23,"jul",421,2,-1,0,"unknown"
"232",41,"admin.","divorced","tertiary","no",861,"yes","no","cellular",31,"jul",108,13,-1,0,"unknown"
"233",35,"blue-collar","married","secondary","no",26,"yes","no","unknown",2,"jun",277,2,-1,0,"unknown"
"234",44,"technician","single","secondary","no",7138,"no","no","cellular",8,"aug",809,2,-1,0,"unknown"
"235",26,"admin.","single","secondary","no",255,"no","no","cellular",9,"feb",190,1,-1,0,"unknown"
"236",51,"blue-collar","married","tertiary","no",84,"no","yes","unknown",27,"jun",269,1,-1,0,"unknown"
"237",37,"technician","married","tertiary","no",88,"no","no","cellular",6,"may",195,1,90,3,"other"
"238",70,"management","married","tertiary","no",1295,"no","no","cellular",26,"mar",698,1,-1,0,"unknown"
"239",46,"management","married","unknown","no",2466,"no","no","telephone",1,"apr",216,3,370,1,"failure"
"240",66,"retired","married","secondary","no",3409,"no","no","cellular",12,"may",801,1,86,2,"failure"
"241",39,"technician","single","secondary","no",1022,"yes","no","unknown",20,"may",1410,2,-1,0,"unknown"
"242",49,"technician","married","tertiary","no",1235,"no","no","cellular",13,"aug",354,3,-1,0,"unknown"
"243",35,"technician","single","secondary","no",362,"yes","no","cellular",17,"apr",54,2,-1,0,"unknown"
"244",33,"blue-collar","married","secondary","no",0,"yes","no","cellular",19,"nov",330,2,-1,0,"unknown"
"245",56,"blue-collar","married","secondary","no",605,"no","yes","cellular",27,"aug",157,6,-1,0,"unknown"
"246",30,"management","married","tertiary","no",0,"yes","no","cellular",9,"jul",127,1,-1,0,"unknown"
"247",28,"blue-collar","married","secondary","no",0,"yes","yes","unknown",3,"jun",210,1,-1,0,"unknown"
"248",31,"management","single","tertiary","no",630,"no","no","cellular",4,"may",95,2,91,2,"failure"
"249",24,"unemployed","married","secondary","no",6,"no","no","unknown",17,"jun",21,1,-1,0,"unknown"
"250",51,"unemployed","married","secondary","no",7464,"no","no","cellular",20,"nov",176,2,-1,0,"unknown"
"251",26,"management","single","tertiary","no",3704,"no","no","cellular",19,"aug",238,4,-1,0,"unknown"
"252",33,"unemployed","single","secondary","no",559,"yes","no","cellular",9,"feb",18,6,-1,0,"unknown"
"253",52,"management","married","tertiary","no",1177,"yes","no","unknown",29,"may",473,1,-1,0,"unknown"
"254",57,"admin.","single","secondary","no",3551,"yes","no","cellular",12,"may",458,1,-1,0,"unknown"
"255",29,"management","single","tertiary","no",697,"no","no","cellular",4,"feb",206,1,-1,0,"unknown"
"256",34,"admin.","married","tertiary","no",69,"no","yes","cellular",25,"nov",296,1,205,2,"failure"
"257",53,"blue-collar","married","secondary","no",-8,"no","no","cellular",5,"aug",794,1,-1,0,"unknown"
"258",28,"blue-collar","single","secondary","no",-197,"yes","no","unknown",9,"may",2016,2,-1,0,"unknown"
"259",29,"unknown","single","primary","no",50,"yes","no","unknown",7,"may",50,2,-1,0,"unknown"
"260",33,"blue-collar","married","secondary","no",-416,"yes","no","unknown",29,"may",431,2,-1,0,"unknown"
"261",81,"retired","divorced","primary","no",949,"no","no","cellular",27,"sep",188,2,280,1,"other"
"262",50,"blue-collar","married","primary","no",3764,"no","no","telephone",9,"sep",214,2,99,4,"failure"
"263",34,"management","married","tertiary","no",2599,"no","no","cellular",16,"nov",95,1,200,2,"success"
"264",47,"technician","married","tertiary","no",1694,"no","yes","unknown",20,"jun",560,3,-1,0,"unknown"
"265",31,"blue-collar","married","primary","no",2085,"yes","yes","unknown",19,"may",488,3,-1,0,"unknown"
"266",35,"blue-collar","married","secondary","no",0,"yes","yes","unknown",29,"may",543,1,-1,0,"unknown"
"267",31,"admin.","single","secondary","no",410,"no","no","cellular",25,"oct",182,1,185,1,"success"
"268",28,"blue-collar","single","primary","no",1199,"yes","no","cellular",30,"jul",1011,20,-1,0,"unknown"
"269",54,"technician","divorced","secondary","no",1663,"yes","no","telephone",20,"apr",41,1,150,9,"other"
"270",33,"technician","married","unknown","no",1450,"no","no","cellular",27,"apr",81,1,-1,0,"unknown"
"271",34,"blue-collar","single","primary","no",79,"no","no","telephone",10,"jul",336,4,-1,0,"unknown"
"272",53,"admin.","divorced","secondary","no",-372,"yes","no","unknown",26,"may",104,1,-1,0,"unknown"
"273",30,"technician","single","secondary","no",601,"no","no","cellular",27,"feb",154,1,-1,0,"unknown"
"274",52,"technician","married","tertiary","no",2557,"no","no","cellular",28,"jan",134,5,204,2,"success"
"275",25,"self-employed","single","tertiary","no",42,"yes","no","cellular",5,"jun",149,1,94,1,"success"
"276",33,"admin.","single","tertiary","no",272,"yes","no","cellular",1,"sep",293,2,92,3,"success"
"277",37,"services","single","secondary","no",1045,"no","no","cellular",17,"mar",406,2,41,1,"failure"
